state,testpositivity
MP,100.00000000000000000000
PR,100.00000000000000000000
ID,30.42717153458281800000
IA,29.29519746259859095600
AL,28.48469667186047202800
KS,25.83592605815961469800
SD,24.95668709064018592900
MS,23.65125214141962954100
KY,18.64812643469357422400
GA,18.22741191816463333800
